id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-11-17T17:41:50;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-17T05:34:32;75071
2;Rhode Island bypassing SQL;2020-11-17T08:29:54;Frozen online streamline;ISSUED;CREDIT_CARD;2020-11-18T00:17:00;68011
3;lime program;2020-11-17T03:44:57;parse Horizontal Shirt;ISSUED;PAYPAL;2020-11-17T04:35:30;82892
4;Buckinghamshire Director Gloves;2020-11-17T08:15:40;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-11-17T00:50:41;33894
5;attitude-oriented;2020-11-17T10:43:48;Integration structure;CANCELLED;PAYPAL;2020-11-17T12:51:18;72584
6;Internal Licensed Steel Towels RSS;2020-11-17T17:19:58;Chips;PAID;CREDIT_CARD;2020-11-17T18:15:38;90614
7;Toys Cotton;2020-11-17T09:49:19;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-11-17T07:32:43;42722
8;Arizona Barbados Dollar;2020-11-17T18:19:01;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-11-17T15:22:29;44406
9;Generic Ethiopian Birr Assurance;2020-11-17T06:47:52;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-11-17T14:43:22;93110
10;Concrete;2020-11-17T23:31:38;paradigms system;PAID;CREDIT_CARD;2020-11-17T01:57:50;93817
