id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-17T01:53:34;payment unleash Jamaican Dollar;1
2;Rest;2020-11-17T21:10:04;Plains;2
3;Quality Plastic plum;2020-11-17T01:30:26;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-17T21:57:38;Architect SSL;4
5;zero tolerance;2020-11-17T18:53:57;user-facing CSS;5
6;ADP Ouguiya;2020-11-17T14:50:25;Garden;6
7;auxiliary;2020-11-17T23:06:25;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-17T02:04:26;Viaduct hybrid;8
9;mesh;2020-11-18T00:30:05;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-17T22:28:59;Re-engineered withdrawal Ball;10
